Customer_ID,Purchase_Amount,Delivery_Time,Rating,Product_Category
CUST1000,4787.36,4,4,Books
CUST1001,2988.93,1,5,Books
CUST1002,2764.57,1,5,Electronics
CUST1003,2764.6,1,4,Books
CUST1004,9299.43,7,4,Clothing
CUST1005,5733.41,5,1,Books
CUST1006,2262.16,5,4,Books
CUST1007,4939.63,8,2,Books
CUST1008,3997.92,3,3,Home & Kitchen
CUST1009,431.83,5,2,Home & Kitchen
CUST1010,1342.48,3,4,Home & Kitchen
CUST1011,4212.33,5,5,Books
CUST1012,8730.35,1,2,Clothing
CUST1013,2783.7,7,5,Books
CUST1014,2116.05,2,2,Electronics
CUST1015,3628.02,4,5,Clothing
CUST1016,2010.57,6,2,Home & Kitchen
CUST1017,2635.48,7,5,Beauty
CUST1018,3298.6,9,3,Clothing
CUST1019,1280.27,4,1,Home & Kitchen
CUST1020,5940.12,1,2,Clothing
CUST1021,1070.36,4,3,Clothing
CUST1022,945.59,6,1,Books
CUST1023,3867.9,3,2,Electronics
CUST1024,5626.71,4,3,Beauty
CUST1025,3795.67,2,3,Home & Kitchen
CUST1026,3043.56,6,3,Clothing
CUST1027,2614.76,8,4,Beauty
CUST1028,2279.82,7,5,Clothing
CUST1029,6875.6,2,1,Electronics
CUST1030,4242.09,6,5,Beauty
CUST1031,2434.64,9,5,Home & Kitchen
CUST1032,1873.21,3,5,Clothing
CUST1033,5175.24,8,3,Electronics
CUST1034,6766.88,7,5,Beauty
CUST1035,6362.42,6,4,Clothing
CUST1036,1602.09,10,2,Clothing
CUST1037,2597.0,5,3,Home & Kitchen
CUST1038,2242.87,5,1,Electronics
CUST1039,2876.58,5,2,Books
CUST1040,5902.18,5,2,Clothing
CUST1041,8204.52,4,2,Beauty
CUST1042,4356.97,10,5,Home & Kitchen
CUST1043,1929.69,3,5,Home & Kitchen
CUST1044,3241.68,2,3,Clothing
CUST1045,9225.08,6,5,Clothing
CUST1046,3563.18,4,5,Clothing
CUST1047,2619.37,4,5,Books
CUST1048,2797.71,8,3,Clothing
CUST1049,4343.03,5,3,Electronics
CUST1050,1651.26,4,4,Beauty
CUST1051,2198.39,7,4,Clothing
CUST1052,6299.54,4,4,Books
CUST1053,4256.26,2,4,Beauty
CUST1054,3590.32,2,2,Home & Kitchen
CUST1055,6512.03,3,2,Clothing
CUST1056,1829.37,3,4,Beauty
CUST1057,2556.87,8,4,Home & Kitchen
CUST1058,4157.86,6,1,Books
CUST1059,4053.83,0,2,Electronics
CUST1060,851.69,8,1,Clothing
CUST1061,2360.92,5,1,Electronics
CUST1062,2934.0,4,5,Books
CUST1063,4489.21,5,3,Beauty
CUST1064,4043.53,7,2,Beauty
CUST1065,3144.79,6,4,Books
CUST1066,428.21,3,4,Books
CUST1067,3265.34,4,3,Clothing
CUST1068,3491.28,2,2,Home & Kitchen
CUST1069,14596.0,4,4,Electronics
CUST1070,2860.92,1,4,Electronics
CUST1071,4174.12,9,5,Beauty
CUST1072,7240.43,3,1,Beauty
CUST1073,5676.15,1,4,Clothing
CUST1074,8425.61,5,2,Books
CUST1075,865.82,4,3,Electronics
CUST1076,1374.12,6,5,Clothing
CUST1077,2074.53,5,2,Beauty
CUST1078,718.63,8,5,Beauty
CUST1079,3513.51,5,1,Electronics
CUST1080,1478.36,7,4,Beauty
CUST1081,9150.42,4,2,Beauty
CUST1082,1692.4,1,3,Home & Kitchen
CUST1083,2569.01,5,1,Books
CUST1084,5905.92,4,1,Beauty
CUST1085,1058.28,3,5,Home & Kitchen
CUST1086,667.17,2,1,Clothing
CUST1087,3833.14,12,2,Beauty
CUST1088,4050.38,5,5,Clothing
CUST1089,5786.91,10,1,Beauty
CUST1090,4870.75,6,3,Electronics
CUST1091,4160.45,1,2,Home & Kitchen
CUST1092,1867.76,6,3,Home & Kitchen
CUST1093,3969.69,2,3,Electronics
CUST1094,4148.75,4,5,Books
CUST1095,1808.17,5,4,Home & Kitchen
CUST1096,10844.15,8,5,Clothing
CUST1097,4712.55,4,2,Home & Kitchen
CUST1098,1396.92,2,2,Books
CUST1099,5806.56,1,5,Clothing
CUST1100,6490.79,8,4,Clothing
CUST1101,4516.76,8,5,Electronics
CUST1102,2739.04,4,2,Beauty
CUST1103,1741.37,1,4,Electronics
CUST1104,3138.19,9,2,Beauty
CUST1105,4294.05,4,4,Electronics
CUST1106,3367.02,2,4,Beauty
CUST1107,8671.05,4,5,Home & Kitchen
CUST1108,5223.83,3,5,Clothing
CUST1109,1573.84,8,5,Beauty
CUST1110,1262.38,9,4,Home & Kitchen
CUST1111,4740.7,4,4,Books
CUST1112,2789.01,4,2,Electronics
CUST1113,5537.62,5,3,Books
CUST1114,4710.61,11,5,Home & Kitchen
CUST1115,3148.8,8,2,Books
CUST1116,1590.12,6,2,Books
CUST1117,752.4,2,1,Home & Kitchen
CUST1118,3917.24,8,5,Clothing
CUST1119,1040.5,7,2,Beauty
CUST1120,1532.41,6,1,Electronics
CUST1121,3746.21,5,5,Beauty
CUST1122,3485.9,3,4,Electronics
CUST1123,1167.44,5,1,Beauty
CUST1124,6984.65,3,4,Books
CUST1125,6861.72,3,3,Clothing
CUST1126,4847.83,7,3,Books
CUST1127,4843.69,4,3,Clothing
CUST1128,4847.87,4,3,Home & Kitchen
CUST1129,6453.12,6,2,Electronics
CUST1130,5313.95,6,3,Electronics
CUST1131,1709.6,3,2,Home & Kitchen
CUST1132,2758.5,4,2,Beauty
CUST1133,13593.06,6,5,Home & Kitchen
CUST1134,462.97,6,2,Home & Kitchen
CUST1135,2257.26,6,2,Clothing
CUST1136,7009.63,6,3,Home & Kitchen
CUST1137,1806.53,3,2,Electronics
CUST1138,5413.96,5,4,Books
CUST1139,3452.39,2,3,Clothing
CUST1140,1918.09,5,1,Clothing
CUST1141,362.02,3,3,Beauty
CUST1142,3838.31,3,2,Books
CUST1143,1677.22,5,4,Clothing
CUST1144,3045.77,11,3,Home & Kitchen
CUST1145,4814.6,7,4,Clothing
CUST1146,6105.62,7,1,Clothing
CUST1147,2251.26,4,1,Clothing
CUST1148,1915.0,1,5,Beauty
CUST1149,1022.61,4,5,Clothing
CUST1150,6309.26,5,3,Clothing
CUST1151,12363.45,4,5,Beauty
CUST1152,6772.95,4,4,Books
CUST1153,7791.2,7,5,Electronics
CUST1154,1819.67,6,4,Beauty
CUST1155,4615.6,8,5,Beauty
CUST1156,5760.14,4,5,Clothing
CUST1157,1326.28,3,5,Clothing
CUST1158,9574.3,0,2,Electronics
CUST1159,836.43,4,2,Clothing
CUST1160,8611.31,1,5,Home & Kitchen
CUST1161,830.56,4,4,Clothing
CUST1162,1387.08,3,3,Clothing
CUST1163,4674.5,5,1,Home & Kitchen
CUST1164,3516.83,6,2,Electronics
CUST1165,2434.15,6,5,Home & Kitchen
CUST1166,9334.29,4,1,Beauty
CUST1167,1049.95,4,2,Home & Kitchen
CUST1168,2956.58,5,3,Books
CUST1169,5094.79,1,4,Beauty
